name,dirname,date,bgcolor,notes
Assignment 0,Assignment_0,2024-12-02 23:59,,Day 1
Assignment 1,Assignment_01,2024-12-03 23:59,,Day 2
Assignment 2,Assignment_02,2024-12-05 23:59,,Day 3
Assignment 3,Assignment_03,2024-12-06 23:59,,Day 4
Assignment 4,Assignment_04,2024-12-09 23:59,,Day 5
Assignment 5,Assignment_05,2024-12-10 23:59,,Day 6
Assignment 6a (problems 1-7),Assignment_06,2024-12-12 23:59,,Day 7
Assignment 6b (problems 8-11),Assignment_06,2024-12-13 23:59,,Day 8
Assignment 7a (problems 1-3),Assignment_07,2024-12-16 23:59,,Day 9
Assignment 7b (problems 4-6),Assignment_07,2024-12-17 23:59,,Day 10
Assignment 8,Assignment_08,2024-12-19 23:59,,Day 11
Assignment 9,Assignment_09,2024-12-20 23:59,,Day 12
Assignment 10,Assignment_10,2025-01-06 23:59,,Day 13
E&C Pre-work 1,EandC,2025-01-07 23:59,,Day 14
E&C Pre-work 2,EandC,2025-01-10 23:59,,Day 16
Assignment 11,Assignment_11,2025-01-14 23:59,,Day 18
E&C Takehome Mini-Exam,EandC,2025-01-16 23:59,,Day 19
Assignment 13,Assignment_13,2025-01-17 23:59,,Day 20
Macros Assignment,Macros,2025-01-21 23:59,,Day 22
Assignment 14,Assignment_14,2025-01-24 23:59,,Day 24
Assignment 15 (small individual),Assignment_15,2025-01-27 23:59,,Day 25
Assignment 16,Assignment_16,2025-01-28 23:59,,Day 26
Assignment 17,Assignment_17,2025-01-31 23:59,,Day 28
Assignment 18,Assignment_18,2025-02-10 23:59,,Day 33
Garbage Collection Assignment,GarbageCollect,2025-02-13 23:59,,Day 35
CallCC Assignment,CallCC,2025-02-17 23:59,,Day 37
Typing Assignment,Typing,2025-02-21 23:59,,Day 40
Exam 1,Exam1Prep,2025-01-09 23:59,f7e4c4,Day 15
Exam 2,Exam2Prep,2025-02-04 23:59,f7e4c4,Day 30
